Day,AdPlacement,CTR
1,Left Sidebar,2.5
1,Center Page,3.8
1,Right Sidebar,3.1
2,Left Sidebar,2.7
2,Center Page,3.5
2,Right Sidebar,2.9
3,Left Sidebar,2.8
3,Center Page,4
3,Right Sidebar,3
4,Left Sidebar,2.6
4,Center Page,3.7
4,Right Sidebar,3.2
5,Left Sidebar,3
5,Center Page,3.9
5,Right Sidebar,3.3
6,Left Sidebar,2.4
6,Center Page,3.6
6,Right Sidebar,2.8
7,Left Sidebar,2.9
7,Center Page,4.1
7,Right Sidebar,3.4
8,Left Sidebar,2.5
8,Center Page,3.4
8,Right Sidebar,3.1
9,Left Sidebar,2.6
9,Center Page,3.8
9,Right Sidebar,3.2
10,Left Sidebar,2.7
10,Center Page,3.9
10,Right Sidebar,3.5
